query,duration,rq,precision@5,precision@10,precision@30,average precision,f1@30,recall@5,recall@10,recall@30
genetics,21.027311086654663,0.166,0.4,0.4,0.133,0.618,0.105,0.043,0.087,0.087
Who is considered the "Father of the United States"?,Timeout,None,None,None,None,None,None,None,None,None
economic,4.5353968143463135,0.207,0.6,0.5,0.167,0.659,0.125,0.06,0.1,0.1
When was the United Nations founded?,Timeout,None,None,None,None,None,None,None,None,None
video gaming,25.713430404663086,0.0,0.0,0.1,0.033,0.167,0.026,0.0,0.022,0.022
3D printing technology,6.555058717727661,0.0,0.0,0.0,0.033,0.062,0.027,0.0,0.0,0.023
Who is the author of "1984"?,19.166363954544067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bioinformatics,5.0616981983184814,0.152,0.2,0.2,0.1,0.462,0.122,0.053,0.105,0.158
Who is known for proposing the heliocentric model of the solar system?,Timeout,None,None,None,None,None,None,None,None,None
Describe the process of water erosion.,27.846960067749023,0.174,0.2,0.4,0.2,0.473,0.154,0.021,0.083,0.125
When was the Berlin Wall constructed?,17.418508768081665,0.0,0.0,0.1,0.067,0.139,0.051,0.0,0.02,0.041
What is the meaning of the term "Habeas Corpus"?,15.779851913452148,0.081,0.2,0.1,0.067,0.591,0.051,0.02,0.02,0.041
telecommunications,6.150841951370239,0.122,0.4,0.2,0.067,0.833,0.072,0.077,0.077,0.077
internet,7.037725210189819,0.117,0.2,0.2,0.1,0.516,0.083,0.024,0.048,0.071
What are the characteristics of a chemical element?,6.3785400390625,0.0,0.0,0.0,0.033,0.037,0.025,0.0,0.0,0.02
Describe the structure of a plant cell.,14.18655252456665,0.0,0.0,0.1,0.067,0.146,0.051,0.0,0.02,0.041
Who painted "Starry Night"?,14.491231918334961,0.0,0.0,0.0,0.067,0.06,0.064,0.0,0.0,0.061
computer,8.821127891540527,0.138,0.2,0.2,0.133,0.426,0.105,0.022,0.043,0.087
What is the structure of the Earth's layers?,7.930184841156006,0.0,0.0,0.1,0.033,0.125,0.027,0.0,0.023,0.023
When did World War II end?,Timeout,None,None,None,None,None,None,None,None,None
When was the Gutenberg printing press invented?,32.0350775718689,0.138,0.2,0.1,0.133,0.187,0.105,0.022,0.022,0.087
medicine,11.53018569946289,0.253,0.6,0.3,0.2,0.498,0.16,0.067,0.067,0.133
Describe the water cycle.,10.88875961303711,0.112,0.2,0.2,0.1,0.215,0.078,0.021,0.043,0.064
artificial intelligence,5.585970878601074,0.116,0.2,0.1,0.1,0.152,0.082,0.023,0.023,0.07
physics,8.32219672203064,0.113,0.2,0.2,0.1,0.477,0.079,0.022,0.043,0.065
nanotechnology,5.276629686355591,0.572,0.6,0.8,0.7,0.794,0.546,0.064,0.17,0.447
When did the Black Death pandemic occur?,27.367268085479736,0.083,0.2,0.2,0.067,0.667,0.052,0.021,0.043,0.043
neuroscience,6.221297264099121,0.42,0.4,0.2,0.567,0.535,0.442,0.043,0.043,0.362
snowboard,8.68207573890686,0.473,0.6,0.5,0.3,0.65,0.391,0.188,0.312,0.562
Who is the founder of modern psychology?,18.380253791809082,0.081,0.2,0.1,0.067,0.188,0.051,0.02,0.02,0.041
