query,duration,rq,precision@5,precision@10,precision@30,average precision,f1@30,recall@5,recall@10,recall@30
genetics,6.570338726,0.642,1,0.9,0.6,0.9,0.473,0.109,0.196,0.391
"Who is considered the ""Father of the United States""?",40.99502611,0,0,0,0,0,0,0,0,0
economic,5.253718376,0.519,1,0.6,0.467,0.749,0.35,0.1,0.12,0.28
When was the United Nations founded?,47.22137952,0.132,0.4,0.2,0.1,0.502,0.079,0.043,0.043,0.065
video gaming,15.06056428,0.046,0.2,0.1,0.033,1,0.026,0.022,0.022,0.022
3D printing technology,6.364045382,0.048,0.2,0.1,0.033,0.25,0.027,0.023,0.023,0.023
"Who is the author of ""1984""?",12.77966738,0,0,0,0,0,0,0,0,0
bioinformatics,1.220850945,0.152,0.2,0.1,0.1,0.255,0.122,0.053,0.053,0.158
Who is known for proposing the heliocentric model of the solar system?,14.62637687,0,0,0.1,0.033,0.111,0.026,0,0.022,0.022
Describe the process of water erosion.,10.37154078,0.194,0.4,0.3,0.167,0.642,0.128,0.042,0.062,0.104
When was the Berlin Wall constructed?,10.91771173,0.09,0.4,0.2,0.067,0.833,0.051,0.041,0.041,0.041
"What is the meaning of the term ""Habeas Corpus""?",11.24976349,0.11,0.2,0.1,0.1,0.266,0.076,0.02,0.02,0.061
telecommunications,1.823762417,0.231,0.6,0.3,0.133,0.759,0.143,0.115,0.115,0.154
internet,4.772862434,0.615,0.8,0.9,0.6,0.818,0.5,0.095,0.214,0.429
What are the characteristics of a chemical element?,6.314327478,0.207,0.6,0.4,0.167,0.768,0.125,0.06,0.08,0.1
Describe the structure of a plant cell.,11.84750652,0.273,0.6,0.4,0.233,0.52,0.177,0.061,0.082,0.143
"Who painted ""Starry Night""?",8.902783394,0,0,0.1,0.033,0.111,0.031,0,0.03,0.03
computer,3.818265438,0.383,1,0.6,0.3,0.843,0.237,0.109,0.13,0.196
What is the structure of the Earth's layers?,7.748358727,0.048,0.2,0.1,0.033,0.2,0.027,0.023,0.023,0.023
When did World War II end?,33.41547823,0.08,0.2,0.1,0.067,0.577,0.05,0.02,0.02,0.04
When was the Gutenberg printing press invented?,9.135372639,0.227,0.4,0.5,0.2,0.479,0.158,0.043,0.109,0.13
medicine,2.858858824,0.515,1,0.9,0.433,0.895,0.347,0.111,0.2,0.289
Describe the water cycle.,7.528092623,0.248,0.6,0.3,0.2,0.496,0.156,0.064,0.064,0.128
artificial intelligence,3.852619886,0.163,0.2,0.1,0.167,0.238,0.137,0.023,0.023,0.116
physics,3.81391716,0.39,0.6,0.6,0.367,0.615,0.289,0.065,0.13,0.239
nanotechnology,0.925297022,0.598,0.6,0.8,0.767,0.787,0.597,0.064,0.17,0.489
When did the Black Death pandemic occur?,25.06284595,0.131,0.4,0.2,0.1,0.5,0.078,0.043,0.043,0.064
neuroscience,1.348049641,0.475,0.8,0.6,0.433,0.64,0.338,0.085,0.128,0.277
snowboard,0.843095779,0.525,0.8,0.6,0.3,0.68,0.391,0.25,0.375,0.562
Who is the founder of modern psychology?,9.670298576,0.081,0.2,0.2,0.067,0.667,0.051,0.02,0.041,0.041
Average,10.87709254,0.237433333,0.453333333,0.346666667,0.21,0.5367,0.173,0.0568,0.085966667,0.1539
