query,duration,rq,precision@5,precision@10,precision@30,average precision,f1@30,recall@5,recall@10,recall@30
genetics,4.160279989,0.574,0.8,0.9,0.567,0.827,0.448,0.087,0.196,0.37
"Who is considered the ""Father of the United States""?",12.16833615,0,0,0,0,0,0,0,0,0
economic,2.037570477,0.596,1,0.8,0.567,0.801,0.425,0.1,0.16,0.34
When was the United Nations founded?,9.064649343,0.083,0.2,0.2,0.067,0.6,0.052,0.022,0.043,0.043
video gaming,3.229337931,0.138,0.2,0.1,0.133,0.367,0.105,0.022,0.022,0.087
3D printing technology,1.745740652,0.048,0.2,0.1,0.033,0.333,0.027,0.023,0.023,0.023
"Who is the author of ""1984""?",3.102604389,0,0,0,0,0,0,0,0,0
bioinformatics,1.080562592,0.18,0.2,0.2,0.133,0.299,0.163,0.053,0.105,0.211
Who is known for proposing the heliocentric model of the solar system?,4.246492624,0.246,0.2,0.5,0.4,0.437,0.32,0.022,0.111,0.267
Describe the process of water erosion.,3.321025133,0.542,0.8,0.5,0.533,0.672,0.41,0.083,0.104,0.333
When was the Berlin Wall constructed?,2.613803864,0.515,0.8,0.6,0.5,0.687,0.38,0.082,0.122,0.306
"What is the meaning of the term ""Habeas Corpus""?",2.741999865,0.62,0.8,0.9,0.667,0.81,0.506,0.082,0.184,0.408
telecommunications,1.382268906,0.293,0.8,0.4,0.167,0.837,0.179,0.154,0.154,0.192
internet,1.986413717,0.498,0.8,0.7,0.433,0.749,0.361,0.095,0.167,0.31
What are the characteristics of a chemical element?,1.661769867,0.519,1,0.7,0.467,0.772,0.35,0.1,0.14,0.28
Describe the structure of a plant cell.,2.893897057,0.302,0.6,0.4,0.267,0.599,0.202,0.061,0.082,0.163
"Who painted ""Starry Night""?",2.268771648,0.334,0.4,0.4,0.3,0.374,0.286,0.061,0.121,0.273
computer,1.760314226,0.311,1,0.6,0.233,0.892,0.184,0.109,0.13,0.152
What is the structure of the Earth's layers?,1.73951149,0.359,0.4,0.5,0.4,0.494,0.325,0.045,0.114,0.273
When did World War II end?,11.27295232,0.08,0.2,0.1,0.067,0.577,0.05,0.02,0.02,0.04
When was the Gutenberg printing press invented?,2.578994036,0.545,0.6,0.5,0.633,0.596,0.5,0.065,0.109,0.413
medicine,1.644074678,0.453,1,0.9,0.367,0.959,0.293,0.111,0.2,0.244
Describe the water cycle.,2.455051661,0.279,0.6,0.5,0.233,0.563,0.182,0.064,0.106,0.149
artificial intelligence,1.05384016,0.321,0.6,0.5,0.267,0.491,0.219,0.07,0.116,0.186
physics,0.938728094,0.414,0.6,0.6,0.4,0.616,0.316,0.065,0.13,0.261
nanotechnology,0.998517036,0.587,1,0.8,0.533,0.857,0.415,0.106,0.17,0.34
When did the Black Death pandemic occur?,5.500081301,0.35,0.4,0.4,0.4,0.479,0.311,0.043,0.085,0.255
neuroscience,1.296432018,0.196,0.4,0.2,0.167,0.518,0.13,0.043,0.043,0.106
snowboard,1.062800646,0.466,1,0.6,0.233,0.912,0.304,0.312,0.375,0.438
Who is the founder of modern psychology?,2.980539799,0.155,0.2,0.3,0.167,0.454,0.127,0.02,0.061,0.102
Average,3.166245389,0.333466667,0.56,0.463333333,0.311133333,0.585733333,0.252333333,0.070666667,0.1131,0.218833333
