query,duration,rq,precision@5,precision@10,precision@30,average precision,f1@30,recall@5,recall@10,recall@30
genetics,4.552860498,0.619,1,0.9,0.567,0.914,0.448,0.109,0.196,0.37
"Who is considered the ""Father of the United States""?",10.29093432,0,0,0,0,0,0,0,0,0
economic,1.929881573,0.491,1,0.6,0.433,0.741,0.325,0.1,0.12,0.26
When was the United Nations founded?,7.872600079,0.046,0.2,0.1,0.033,1,0.026,0.022,0.022,0.022
video gaming,2.90177846,0.046,0.2,0.1,0.033,1,0.026,0.022,0.022,0.022
3D printing technology,1.647306204,0.048,0.2,0.1,0.033,0.333,0.027,0.023,0.023,0.023
"Who is the author of ""1984""?",2.546232939,0,0,0,0,0,0,0,0,0
bioinformatics,1.257413387,0.152,0.2,0.1,0.1,0.278,0.122,0.053,0.053,0.158
Who is known for proposing the heliocentric model of the solar system?,3.788784742,0,0,0,0,0,0,0,0,0
Describe the process of water erosion.,2.941583633,0.294,0.8,0.4,0.233,0.605,0.18,0.083,0.083,0.146
When was the Berlin Wall constructed?,2.313143969,0.09,0.4,0.2,0.067,0.833,0.051,0.041,0.041,0.041
"What is the meaning of the term ""Habeas Corpus""?",2.377804518,0.081,0.2,0.1,0.067,0.583,0.051,0.02,0.02,0.041
telecommunications,1.243592978,0.169,0.4,0.3,0.1,0.81,0.107,0.077,0.115,0.115
internet,1.825090408,0.615,0.8,0.9,0.6,0.824,0.5,0.095,0.214,0.429
What are the characteristics of a chemical element?,1.402985096,0,0,0,0,0,0,0,0,0
Describe the structure of a plant cell.,2.52331686,0.044,0.2,0.1,0.033,1,0.025,0.02,0.02,0.02
"Who painted ""Starry Night""?",1.983439445,0,0,0,0.033,0.053,0.031,0,0,0.03
computer,1.583428144,0.179,0.6,0.3,0.133,0.8,0.105,0.065,0.065,0.087
What is the structure of the Earth's layers?,1.571805716,0.048,0.2,0.1,0.033,0.25,0.027,0.023,0.023,0.023
When did World War II end?,9.14092207,0.044,0.2,0.1,0.033,1,0.025,0.02,0.02,0.02
When was the Gutenberg printing press invented?,2.120696068,0.166,0.4,0.4,0.133,0.524,0.105,0.043,0.087,0.087
medicine,1.462207317,0.453,1,0.8,0.367,0.848,0.293,0.111,0.178,0.244
Describe the water cycle.,2.036001205,0.131,0.4,0.3,0.1,0.681,0.078,0.043,0.064,0.064
artificial intelligence,0.917205334,0.141,0.2,0.1,0.133,0.355,0.109,0.023,0.023,0.093
physics,0.957394838,0.366,0.6,0.5,0.333,0.606,0.263,0.065,0.109,0.217
nanotechnology,1.052500486,0.462,0.4,0.7,0.7,0.717,0.546,0.043,0.149,0.447
When did the Black Death pandemic occur?,4.610810995,0.092,0.4,0.2,0.067,0.7,0.052,0.043,0.043,0.043
neuroscience,1.133118391,0.547,0.8,0.5,0.533,0.602,0.415,0.085,0.106,0.34
snowboard,1.070744991,0.525,0.8,0.6,0.3,0.724,0.391,0.25,0.375,0.562
Who is the founder of modern psychology?,2.556375504,0.09,0.4,0.2,0.067,0.7,0.051,0.041,0.041,0.041
Average,2.787065339,0.197966667,0.4,0.29,0.175466667,0.5827,0.145966667,0.050666667,0.073733333,0.1315
