query,duration,rq,precision@5,precision@10,precision@30,average precision,f1@30,recall@5,recall@10,recall@30
genetics,3.739867687,0.227,0.8,0.4,0.167,0.796,0.132,0.087,0.087,0.109
"Who is considered the ""Father of the United States""?",12.34409976,0,0,0,0,0,0,0,0,0
economic,2.054520607,0.462,1,0.7,0.4,0.828,0.3,0.1,0.14,0.24
When was the United Nations founded?,9.112483978,0.046,0.2,0.1,0.033,1,0.026,0.022,0.022,0.022
video gaming,2.973586082,0.092,0.4,0.2,0.067,0.75,0.052,0.043,0.043,0.043
3D printing technology,1.695496321,0.162,0.2,0.2,0.167,0.268,0.136,0.023,0.045,0.114
"Who is the author of ""1984""?",2.940357208,0,0,0,0,0,0,0,0,0
bioinformatics,0.999461651,0,0,0.1,0.033,0.167,0.041,0,0.053,0.053
Who is known for proposing the heliocentric model of the solar system?,4.084506273,0.279,0.4,0.5,0.267,0.574,0.214,0.044,0.111,0.178
Describe the process of water erosion.,3.271487951,0.586,0.8,0.9,0.6,0.837,0.462,0.083,0.188,0.375
When was the Berlin Wall constructed?,2.384906054,0.441,0.8,0.4,0.4,0.627,0.304,0.082,0.082,0.245
"What is the meaning of the term ""Habeas Corpus""?",2.753557205,0.58,0.8,0.7,0.6,0.68,0.455,0.082,0.143,0.367
telecommunications,1.320676327,0.169,0.4,0.3,0.1,0.667,0.107,0.077,0.115,0.115
internet,2.002725363,0.137,0.4,0.2,0.1,0.708,0.083,0.048,0.048,0.071
What are the characteristics of a chemical element?,1.645287991,0.351,0.8,0.4,0.3,0.664,0.225,0.08,0.08,0.18
Describe the structure of a plant cell.,2.81704855,0.243,0.6,0.3,0.2,0.557,0.152,0.061,0.061,0.122
"Who painted ""Starry Night""?",2.482836723,0.357,0.6,0.6,0.267,0.478,0.254,0.091,0.182,0.242
computer,1.720236778,0.179,0.6,0.4,0.133,0.893,0.105,0.065,0.087,0.087
What is the structure of the Earth's layers?,1.784427643,0.389,0.4,0.6,0.467,0.545,0.378,0.045,0.136,0.318
When did World War II end?,11.08506131,0,0,0.1,0.067,0.113,0.05,0,0.02,0.04
When was the Gutenberg printing press invented?,2.367064714,0.733,1,0.7,0.733,0.825,0.579,0.109,0.152,0.478
medicine,1.585325956,0.133,0.4,0.2,0.1,0.507,0.08,0.044,0.044,0.067
Describe the water cycle.,2.388926983,0.248,0.6,0.3,0.2,0.514,0.156,0.064,0.064,0.128
artificial intelligence,0.984477282,0.344,0.8,0.5,0.267,0.731,0.219,0.093,0.116,0.186
physics,0.921574831,0.312,0.6,0.6,0.267,0.656,0.211,0.065,0.13,0.174
nanotechnology,0.965308905,0.387,0.6,0.5,0.367,0.588,0.286,0.064,0.106,0.234
When did the Black Death pandemic occur?,5.352738857,0.421,0.8,0.4,0.367,0.62,0.286,0.085,0.085,0.234
neuroscience,1.320217848,0.046,0.2,0.1,0.033,0.2,0.026,0.021,0.021,0.021
snowboard,2.11515975,0.158,0.2,0.2,0.1,0.469,0.131,0.062,0.125,0.188
Who is the founder of modern psychology?,2.927741528,0.11,0.2,0.2,0.1,0.521,0.076,0.02,0.041,0.061
Average,3.138038937,0.253066667,0.486666667,0.36,0.230066667,0.559433333,0.1842,0.055333333,0.084233333,0.1564
