query,duration,rq,precision@5,precision@10,precision@30,average precision,f1@30,recall@5,recall@10,recall@30
genetics,7.924724817,0.619,1,0.9,0.567,0.897,0.448,0.109,0.196,0.37
"Who is considered the ""Father of the United States""?",13.45811272,0,0,0,0,0,0,0,0,0
economic,2.170845747,0.596,1,0.8,0.567,0.802,0.425,0.1,0.16,0.34
When was the United Nations founded?,9.995148659,0.046,0.2,0.1,0.033,1,0.026,0.022,0.022,0.022
video gaming,3.250965834,0.083,0.2,0.1,0.067,0.583,0.052,0.022,0.022,0.043
3D printing technology,1.903974295,0.14,0.2,0.1,0.133,0.164,0.108,0.023,0.023,0.091
"Who is the author of ""1984""?",3.253589392,0,0,0,0,0,0,0,0,0
bioinformatics,1.135527372,0.18,0.2,0.3,0.133,0.291,0.163,0.053,0.158,0.211
Who is known for proposing the heliocentric model of the solar system?,4.384326696,0.228,0.2,0.5,0.333,0.404,0.266,0.022,0.111,0.222
Describe the process of water erosion.,3.530077457,0.564,0.8,0.7,0.567,0.714,0.436,0.083,0.146,0.354
When was the Berlin Wall constructed?,2.641121864,0.466,0.8,0.6,0.433,0.633,0.329,0.082,0.122,0.265
"What is the meaning of the term ""Habeas Corpus""?",2.845208883,0.601,0.8,0.9,0.633,0.823,0.481,0.082,0.184,0.388
telecommunications,1.338503361,0.293,0.8,0.4,0.167,0.842,0.179,0.154,0.154,0.192
internet,2.129249096,0.443,0.8,0.7,0.367,0.756,0.306,0.095,0.167,0.262
What are the characteristics of a chemical element?,1.58595109,0.353,0.6,0.5,0.333,0.616,0.25,0.06,0.1,0.2
Describe the structure of a plant cell.,3.038163185,0.193,0.4,0.3,0.167,0.555,0.127,0.041,0.061,0.102
"Who painted ""Starry Night""?",2.553594828,0.21,0.2,0.3,0.233,0.308,0.222,0.03,0.091,0.212
computer,1.854466438,0.264,0.8,0.5,0.2,0.864,0.158,0.087,0.109,0.13
What is the structure of the Earth's layers?,1.832648993,0.374,0.4,0.5,0.433,0.469,0.351,0.045,0.114,0.295
When did World War II end?,12.41275787,0.08,0.2,0.2,0.067,0.625,0.05,0.02,0.04,0.04
When was the Gutenberg printing press invented?,2.693277836,0.529,0.6,0.6,0.6,0.664,0.473,0.065,0.13,0.391
medicine,1.673300505,0.42,1,0.9,0.333,0.962,0.266,0.111,0.2,0.222
Describe the water cycle.,2.533978939,0.177,0.6,0.3,0.133,0.648,0.104,0.064,0.064,0.085
artificial intelligence,1.078248978,0.321,0.6,0.5,0.267,0.504,0.219,0.07,0.116,0.186
physics,0.987406015,0.436,0.6,0.5,0.433,0.541,0.342,0.065,0.109,0.283
nanotechnology,1.023584366,0.587,1,0.8,0.533,0.772,0.415,0.106,0.17,0.34
When did the Black Death pandemic occur?,5.944737196,0.387,0.6,0.6,0.367,0.542,0.286,0.064,0.128,0.234
neuroscience,1.316554308,0.196,0.4,0.3,0.167,0.547,0.13,0.043,0.064,0.106
snowboard,1.052966595,0.243,0.4,0.4,0.133,0.732,0.174,0.125,0.25,0.25
Who is the founder of modern psychology?,3.276984692,0.134,0.2,0.2,0.133,0.441,0.101,0.02,0.041,0.082
,3.493999934,0.305433333,0.52,0.45,0.2844,0.589966667,0.229566667,0.0621,0.1084,0.197266667
