query,duration,rq,precision@5,precision@10,precision@30,average precision,f1@30,recall@5,recall@10,recall@30
genetics,3.784560204,0.574,0.8,0.9,0.567,0.827,0.448,0.087,0.196,0.37
"Who is considered the ""Father of the United States""?",11.53535128,0,0,0,0,0,0,0,0,0
economic,1.966015816,0.596,1,0.8,0.567,0.801,0.425,0.1,0.16,0.34
When was the United Nations founded?,8.491979122,0.083,0.2,0.2,0.067,0.6,0.052,0.022,0.043,0.043
video gaming,2.870042086,0.138,0.2,0.1,0.133,0.367,0.105,0.022,0.022,0.087
3D printing technology,1.725856781,0.048,0.2,0.1,0.033,0.333,0.027,0.023,0.023,0.023
"Who is the author of ""1984""?",2.803046942,0,0,0,0,0,0,0,0,0
bioinformatics,1.007725716,0.18,0.2,0.2,0.133,0.299,0.163,0.053,0.105,0.211
Who is known for proposing the heliocentric model of the solar system?,3.799599648,0.246,0.2,0.5,0.4,0.437,0.32,0.022,0.111,0.267
Describe the process of water erosion.,3.093922377,0.542,0.8,0.5,0.533,0.672,0.41,0.083,0.104,0.333
When was the Berlin Wall constructed?,2.310022593,0.515,0.8,0.6,0.5,0.687,0.38,0.082,0.122,0.306
"What is the meaning of the term ""Habeas Corpus""?",2.550743818,0.62,0.8,0.9,0.667,0.81,0.506,0.082,0.184,0.408
telecommunications,1.253344297,0.293,0.8,0.4,0.167,0.837,0.179,0.154,0.154,0.192
internet,1.898777008,0.498,0.8,0.7,0.433,0.749,0.361,0.095,0.167,0.31
What are the characteristics of a chemical element?,1.993904114,0.519,1,0.7,0.467,0.772,0.35,0.1,0.14,0.28
Describe the structure of a plant cell.,2.693192959,0.302,0.6,0.4,0.267,0.599,0.202,0.061,0.082,0.163
"Who painted ""Starry Night""?",2.143491983,0.334,0.4,0.4,0.3,0.374,0.286,0.061,0.121,0.273
computer,1.543880463,0.311,1,0.6,0.233,0.892,0.184,0.109,0.13,0.152
What is the structure of the Earth's layers?,1.754045248,0.359,0.4,0.5,0.4,0.494,0.325,0.045,0.114,0.273
When did World War II end?,10.51010871,0.08,0.2,0.1,0.067,0.577,0.05,0.02,0.02,0.04
When was the Gutenberg printing press invented?,2.395633221,0.545,0.6,0.5,0.633,0.596,0.5,0.065,0.109,0.413
medicine,1.617817402,0.453,1,0.9,0.367,0.959,0.293,0.111,0.2,0.244
Describe the water cycle.,2.269122124,0.279,0.6,0.5,0.233,0.563,0.182,0.064,0.106,0.149
