query,duration,rq,precision@5,precision@10,precision@30,average precision,f1@30,recall@5,recall@10,recall@30
genetics,4.272092342,0.642,1,0.9,0.6,0.903,0.473,0.109,0.196,0.391
"Who is considered the ""Father of the United States""?",27.71554852,0,0,0,0,0,0,0,0,0
economic,4.193107367,0.571,1,0.8,0.533,0.797,0.4,0.1,0.16,0.32
When was the United Nations founded?,25.90292621,0.132,0.4,0.2,0.1,0.502,0.079,0.043,0.043,0.065
video gaming,4.557659388,0.046,0.2,0.1,0.033,1,0.026,0.022,0.022,0.022
3D printing technology,4.462802172,0.048,0.2,0.1,0.033,0.25,0.027,0.023,0.023,0.023
"Who is the author of ""1984""?",8.116960526,0,0,0,0,0,0,0,0,0
bioinformatics,1.131931782,0.18,0.2,0.2,0.133,0.312,0.163,0.053,0.105,0.211
Who is known for proposing the heliocentric model of the solar system?,11.24065399,0,0,0,0,0,0,0,0,0
Describe the process of water erosion.,8.140195608,0.163,0.4,0.4,0.133,0.683,0.102,0.042,0.083,0.083
When was the Berlin Wall constructed?,6.563806772,0.128,0.4,0.2,0.1,0.594,0.076,0.041,0.041,0.061
"What is the meaning of the term ""Habeas Corpus""?",7.245201111,0.11,0.2,0.2,0.1,0.469,0.076,0.02,0.041,0.061
telecommunications,1.574018002,0.231,0.6,0.3,0.133,0.759,0.143,0.115,0.115,0.154
internet,4.749594688,0.615,0.8,0.8,0.6,0.799,0.5,0.095,0.19,0.429
What are the characteristics of a chemical element?,3.617001772,0.044,0.2,0.1,0.033,1,0.025,0.02,0.02,0.02
Describe the structure of a plant cell.,7.318997383,0.161,0.4,0.3,0.133,0.673,0.101,0.041,0.061,0.082
"Who painted ""Starry Night""?",5.728307247,0,0,0.1,0.033,0.111,0.031,0,0.03,0.03
computer,3.480786562,0.348,1,0.6,0.267,0.82,0.211,0.109,0.13,0.174
What is the structure of the Earth's layers?,4.392504454,0.085,0.2,0.2,0.067,0.667,0.054,0.023,0.045,0.045
When did World War II end?,29.24337077,0.08,0.2,0.1,0.067,0.583,0.05,0.02,0.02,0.04
When was the Gutenberg printing press invented?,6.341018677,0.227,0.4,0.5,0.2,0.471,0.158,0.043,0.109,0.13
medicine,2.482597828,0.543,1,0.9,0.467,0.861,0.373,0.111,0.2,0.311
Describe the water cycle.,7.039936543,0.248,0.6,0.3,0.2,0.499,0.156,0.064,0.064,0.128
artificial intelligence,1.860091209,0.163,0.2,0.1,0.167,0.34,0.137,0.023,0.023,0.116
physics,1.396300316,0.366,0.6,0.5,0.333,0.566,0.263,0.065,0.109,0.217
nanotechnology,1.135949373,0.585,0.6,0.8,0.733,0.791,0.571,0.064,0.17,0.468
When did the Black Death pandemic occur?,17.40068007,0.131,0.4,0.2,0.1,0.505,0.078,0.043,0.043,0.064
neuroscience,1.329372406,0.5,0.8,0.5,0.467,0.609,0.364,0.085,0.106,0.298
snowboard,1.213864088,0.525,0.8,0.6,0.3,0.732,0.391,0.25,0.375,0.562
Who is the founder of modern psychology?,7.45535779,0.09,0.4,0.2,0.067,0.7,0.051,0.041,0.041,0.041
Average,7.376754498,0.232066667,0.44,0.34,0.2044,0.566533333,0.1693,0.0555,0.0855,0.151533333
