query,duration,rq,precision@5,precision@10,precision@30,average precision,f1@30,recall@5,recall@10,recall@30
genetics,3.177528381,0.216,0.6,0.3,0.167,0.603,0.132,0.065,0.065,0.109
"Who is considered the ""Father of the United States""?",15.80568218,0,0,0,0,0,0,0,0,0
economic,2.48491931,0.431,1,0.7,0.367,0.858,0.275,0.1,0.14,0.22
When was the United Nations founded?,16.49862456,0.046,0.2,0.1,0.033,1,0.026,0.022,0.022,0.022
video gaming,4.554399729,0.046,0.2,0.1,0.033,1,0.026,0.022,0.022,0.022
3D printing technology,2.490757942,0,0,0,0,0,0,0,0,0
"Who is the author of ""1984""?",3.894752026,0,0,0.1,0.033,0.125,0.027,0,0.023,0.023
bioinformatics,1.148021698,0.116,0.2,0.1,0.067,0.571,0.082,0.053,0.053,0.105
Who is known for proposing the heliocentric model of the solar system?,5.227354527,0.485,1,0.7,0.4,0.824,0.32,0.111,0.156,0.267
Describe the process of water erosion.,3.730693102,0.625,0.8,0.8,0.667,0.855,0.513,0.083,0.167,0.417
When was the Berlin Wall constructed?,3.751044512,0.446,0.6,0.6,0.467,0.644,0.355,0.061,0.122,0.286
"What is the meaning of the term ""Habeas Corpus""?",4.773969412,0.601,0.8,0.8,0.633,0.8,0.481,0.082,0.163,0.388
telecommunications,1.021329403,0.169,0.4,0.2,0.1,0.722,0.107,0.077,0.077,0.115
internet,1.92566967,0.137,0.4,0.3,0.1,0.792,0.083,0.048,0.071,0.071
What are the characteristics of a chemical element?,2.547173023,0.333,1,0.6,0.267,0.853,0.2,0.1,0.12,0.16
Describe the structure of a plant cell.,3.857220173,0.268,0.4,0.4,0.267,0.517,0.202,0.041,0.082,0.163
"Who painted ""Starry Night""?",2.849278688,0.486,0.8,0.5,0.367,0.569,0.349,0.121,0.152,0.333
computer,1.607368231,0.132,0.4,0.3,0.1,0.778,0.079,0.043,0.065,0.065
What is the structure of the Earth's layers?,2.569696665,0.569,0.6,0.5,0.667,0.637,0.541,0.068,0.114,0.455
When did World War II end?,12.0917573,0,0,0,0,0,0,0,0,0
When was the Gutenberg printing press invented?,3.386536121,0.654,0.8,0.9,0.7,0.797,0.553,0.087,0.196,0.457
medicine,1.44943881,0.046,0.2,0.1,0.033,1,0.026,0.022,0.022,0.022
Describe the water cycle.,2.626075268,0.279,0.6,0.3,0.233,0.473,0.182,0.064,0.064,0.149
artificial intelligence,1.251277208,0.344,0.8,0.4,0.267,0.719,0.219,0.093,0.093,0.186
physics,1.491044044,0.252,0.4,0.4,0.233,0.592,0.184,0.043,0.087,0.152
nanotechnology,0.883936405,0.363,0.6,0.4,0.333,0.514,0.26,0.064,0.085,0.213
When did the Black Death pandemic occur?,8.117190361,0.387,0.6,0.5,0.367,0.512,0.286,0.064,0.106,0.234
neuroscience,1.123374224,0.112,0.2,0.1,0.1,0.402,0.078,0.021,0.021,0.064
snowboard,0.722213507,0.197,0.4,0.2,0.1,0.618,0.131,0.125,0.125,0.188
Who is the founder of modern psychology?,3.10893178,0.11,0.2,0.2,0.1,0.476,0.076,0.02,0.041,0.061
Average,4.005575275,0.261666667,0.473333333,0.353333333,0.240033333,0.608366667,0.1931,0.056666667,0.0818,0.1649
