query,duration,rq,precision@5,precision@10,precision@30,average precision,f1@30,recall@5,recall@10,recall@30
genetics,5.399993419647217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Who is considered the "Father of the United States"?,30.069223165512085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
economic,2.560713768005371,0.16,0.4,0.4,0.133,0.643,0.1,0.04,0.08,0.08
When was the United Nations founded?,22.572848558425903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
video gaming,14.9548819065094,0.046,0.2,0.1,0.033,0.5,0.026,0.022,0.022,0.022
3D printing technology,6.105607748031616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Who is the author of "1984"?,15.517547369003296,0.0,0.0,0.0,0.033,0.059,0.027,0.0,0.0,0.023
bioinformatics,2.434450387954712,0.404,0.4,0.4,0.333,0.494,0.408,0.105,0.211,0.526
Who is known for proposing the heliocentric model of the solar system?,Timeout,None,None,None,None,None,None,None,None,None
Describe the process of water erosion.,20.607715129852295,0.0,0.0,0.0,0.033,0.037,0.026,0.0,0.0,0.021
When was the Berlin Wall constructed?,17.232151746749878,0.435,1.0,0.7,0.367,0.794,0.278,0.102,0.143,0.224
What is the meaning of the term "Habeas Corpus"?,13.911644697189331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
telecommunications,2.36549973487854,0.139,0.2,0.1,0.1,0.398,0.107,0.038,0.038,0.115
internet,6.095944166183472,0.143,0.2,0.2,0.133,0.377,0.111,0.024,0.048,0.095
What are the characteristics of a chemical element?,5.752665042877197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Describe the structure of a plant cell.,12.8995041847229,0.161,0.4,0.3,0.133,0.546,0.101,0.041,0.061,0.082
Who painted "Starry Night"?,11.00848126411438,0.0,0.0,0.1,0.067,0.153,0.064,0.0,0.03,0.061
computer,5.5606091022491455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
What is the structure of the Earth's layers?,7.812408447265625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
When did World War II end?,Timeout,None,None,None,None,None,None,None,None,None
When was the Gutenberg printing press invented?,19.675570726394653,0.504,0.8,0.6,0.467,0.676,0.368,0.087,0.13,0.304
medicine,5.089207172393799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Describe the water cycle.,7.28233790397644,0.092,0.4,0.2,0.067,1.0,0.052,0.043,0.043,0.043
artificial intelligence,2.350551128387451,0.116,0.2,0.1,0.1,0.155,0.082,0.023,0.023,0.07
physics,5.540968179702759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nanotechnology,2.4200246334075928,0.572,0.6,0.8,0.7,0.794,0.546,0.064,0.17,0.447
When did the Black Death pandemic occur?,22.56118655204773,0.0,0.0,0.0,0.067,0.065,0.052,0.0,0.0,0.043
neuroscience,5.3908233642578125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snowboard,5.36864972114563,0.441,0.6,0.4,0.267,0.556,0.348,0.188,0.25,0.5
Who is the founder of modern psychology?,14.676545143127441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
