query,duration,rq,precision@5,precision@10,precision@30,average precision,f1@30,recall@5,recall@10,recall@30
genetics,6.366309642791748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Who is considered the "Father of the United States"?,33.03619718551636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
economic,2.3436968326568604,0.16,0.4,0.4,0.133,0.643,0.1,0.04,0.08,0.08
When was the United Nations founded?,26.91200542449951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
video gaming,17.28826093673706,0.0,0.0,0.0,0.033,0.083,0.026,0.0,0.0,0.022
3D printing technology,5.642734050750732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Who is the author of "1984"?,15.307436466217041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bioinformatics,2.2581238746643066,0.404,0.4,0.4,0.333,0.494,0.408,0.105,0.211,0.526
Who is known for proposing the heliocentric model of the solar system?,Timeout,None,None,None,None,None,None,None,None,None
Describe the process of water erosion.,22.645137786865234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
When was the Berlin Wall constructed?,15.142253160476685,0.441,0.8,0.7,0.4,0.73,0.304,0.082,0.143,0.245
What is the meaning of the term "Habeas Corpus"?,12.794384479522705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
telecommunications,2.1223723888397217,0.139,0.2,0.1,0.1,0.398,0.107,0.038,0.038,0.115
internet,6.278908014297485,0.164,0.2,0.2,0.167,0.359,0.139,0.024,0.048,0.119
What are the characteristics of a chemical element?,5.428582668304443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Describe the structure of a plant cell.,12.631470918655396,0.134,0.2,0.3,0.133,0.458,0.101,0.02,0.061,0.082
Who painted "Starry Night"?,11.518083810806274,0.0,0.0,0.0,0.067,0.101,0.064,0.0,0.0,0.061
computer,4.715365886688232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
What is the structure of the Earth's layers?,6.403242826461792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
When did World War II end?,Timeout,None,None,None,None,None,None,None,None,None
When was the Gutenberg printing press invented?,20.524710655212402,0.456,0.6,0.6,0.467,0.598,0.368,0.065,0.13,0.304
medicine,6.083486080169678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Describe the water cycle.,11.263837575912476,0.165,0.4,0.2,0.133,0.594,0.104,0.043,0.043,0.085
artificial intelligence,2.936753511428833,0.116,0.2,0.1,0.1,0.155,0.082,0.023,0.023,0.07
physics,5.837263107299805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nanotechnology,2.933948516845703,0.572,0.6,0.8,0.7,0.794,0.546,0.064,0.17,0.447
When did the Black Death pandemic occur?,23.613670587539673,0.0,0.0,0.0,0.133,0.162,0.104,0.0,0.0,0.085
neuroscience,5.958100080490112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snowboard,5.34883451461792,0.316,0.4,0.3,0.2,0.268,0.261,0.125,0.188,0.375
Who is the founder of modern psychology?,15.016092777252197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
