query,duration,rq,precision@5,precision@10,precision@30,average precision,f1@30,recall@5,recall@10,recall@30
genetics,2.8660881519317627,0.166,0.4,0.4,0.133,0.618,0.105,0.043,0.087,0.087
Who is considered the "Father of the United States"?,3.937673807144165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
economic,2.52001953125,0.16,0.4,0.4,0.133,0.643,0.1,0.04,0.08,0.08
When was the United Nations founded?,3.7595674991607666,0.0,0.0,0.0,0.033,0.033,0.026,0.0,0.0,0.022
video gaming,3.876742362976074,0.0,0.0,0.0,0.033,0.091,0.026,0.0,0.0,0.022
3D printing technology,3.19966983795166,0.0,0.0,0.0,0.033,0.062,0.027,0.0,0.0,0.023
Who is the author of "1984"?,3.112419366836548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bioinformatics,3.0376782417297363,0.404,0.4,0.4,0.333,0.494,0.408,0.105,0.211,0.526
Who is known for proposing the heliocentric model of the solar system?,3.645738124847412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Describe the process of water erosion.,3.1341536045074463,0.174,0.2,0.4,0.2,0.473,0.154,0.021,0.083,0.125
When was the Berlin Wall constructed?,3.112903118133545,0.0,0.0,0.1,0.067,0.139,0.051,0.0,0.02,0.041
What is the meaning of the term "Habeas Corpus"?,3.079908609390259,0.081,0.2,0.1,0.067,0.591,0.051,0.02,0.02,0.041
telecommunications,3.029576539993286,0.139,0.2,0.1,0.1,0.398,0.107,0.038,0.038,0.115
internet,2.972456932067871,0.137,0.4,0.2,0.1,0.583,0.083,0.048,0.048,0.071
What are the characteristics of a chemical element?,2.832706928253174,0.0,0.0,0.0,0.033,0.037,0.025,0.0,0.0,0.02
Describe the structure of a plant cell.,3.0181214809417725,0.0,0.0,0.1,0.067,0.146,0.051,0.0,0.02,0.041
Who painted "Starry Night"?,3.1329903602600098,0.0,0.0,0.0,0.067,0.06,0.064,0.0,0.0,0.061
computer,3.099269151687622,0.138,0.2,0.2,0.133,0.426,0.105,0.022,0.043,0.087
What is the structure of the Earth's layers?,3.0139665603637695,0.0,0.0,0.1,0.033,0.125,0.027,0.0,0.023,0.023
When did World War II end?,3.6517908573150635,0.0,0.0,0.0,0.033,0.083,0.025,0.0,0.0,0.02
When was the Gutenberg printing press invented?,3.027805805206299,0.138,0.2,0.1,0.133,0.187,0.105,0.022,0.022,0.087
medicine,2.9411730766296387,0.253,0.6,0.3,0.2,0.498,0.16,0.067,0.067,0.133
Describe the water cycle.,3.106743097305298,0.112,0.2,0.2,0.1,0.215,0.078,0.021,0.043,0.064
artificial intelligence,2.8030648231506348,0.116,0.2,0.1,0.1,0.155,0.082,0.023,0.023,0.07
physics,3.1393134593963623,0.113,0.2,0.2,0.1,0.491,0.079,0.022,0.043,0.065
nanotechnology,3.600106716156006,0.572,0.6,0.8,0.7,0.794,0.546,0.064,0.17,0.447
When did the Black Death pandemic occur?,4.21663236618042,0.083,0.2,0.2,0.067,0.667,0.052,0.021,0.043,0.043
neuroscience,3.4797286987304688,0.275,0.2,0.1,0.567,0.482,0.442,0.021,0.021,0.362
snowboard,3.400230646133423,0.473,0.6,0.5,0.3,0.65,0.391,0.188,0.312,0.562
Who is the founder of modern psychology?,2.9304263591766357,0.081,0.2,0.1,0.067,0.188,0.051,0.02,0.02,0.041
