query,duration,rq,precision@5,precision@10,precision@30,average precision,f1@30,recall@5,recall@10,recall@30
genetics,6.4323813915252686,0.166,0.4,0.4,0.133,0.618,0.105,0.043,0.087,0.087
Who is considered the "Father of the United States"?,29.568567752838135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
economic,2.7056500911712646,0.16,0.4,0.4,0.133,0.643,0.1,0.04,0.08,0.08
When was the United Nations founded?,23.64049768447876,0.0,0.0,0.0,0.033,0.033,0.026,0.0,0.0,0.022
video gaming,15.060948133468628,0.0,0.0,0.0,0.033,0.091,0.026,0.0,0.0,0.022
3D printing technology,6.188647031784058,0.0,0.0,0.0,0.033,0.062,0.027,0.0,0.0,0.023
Who is the author of "1984"?,12.770946025848389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bioinformatics,2.3310868740081787,0.404,0.4,0.4,0.333,0.494,0.408,0.105,0.211,0.526
Who is known for proposing the heliocentric model of the solar system?,34.55556011199951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Describe the process of water erosion.,17.99340558052063,0.174,0.2,0.4,0.2,0.473,0.154,0.021,0.083,0.125
When was the Berlin Wall constructed?,16.30527973175049,0.0,0.0,0.1,0.067,0.139,0.051,0.0,0.02,0.041
What is the meaning of the term "Habeas Corpus"?,13.110264539718628,0.081,0.2,0.1,0.067,0.591,0.051,0.02,0.02,0.041
telecommunications,2.3204336166381836,0.139,0.2,0.1,0.1,0.398,0.107,0.038,0.038,0.115
internet,6.224273204803467,0.049,0.2,0.1,0.033,1.0,0.028,0.024,0.024,0.024
What are the characteristics of a chemical element?,6.164761781692505,0.0,0.0,0.0,0.033,0.037,0.025,0.0,0.0,0.02
Describe the structure of a plant cell.,13.072685718536377,0.0,0.0,0.1,0.067,0.146,0.051,0.0,0.02,0.041
Who painted "Starry Night"?,12.584703922271729,0.0,0.0,0.0,0.067,0.06,0.064,0.0,0.0,0.061
computer,5.266505479812622,0.138,0.2,0.2,0.133,0.426,0.105,0.022,0.043,0.087
What is the structure of the Earth's layers?,6.7121031284332275,0.0,0.0,0.1,0.033,0.125,0.027,0.0,0.023,0.023
When did World War II end?,Timeout,None,None,None,None,None,None,None,None,None
When was the Gutenberg printing press invented?,24.26498532295227,0.113,0.2,0.1,0.1,0.204,0.079,0.022,0.022,0.065
medicine,5.897629022598267,0.253,0.6,0.3,0.2,0.498,0.16,0.067,0.067,0.133
Describe the water cycle.,8.371078252792358,0.112,0.2,0.2,0.1,0.215,0.078,0.021,0.043,0.064
artificial intelligence,2.1833584308624268,0.116,0.2,0.1,0.1,0.155,0.082,0.023,0.023,0.07
physics,5.5409557819366455,0.113,0.2,0.2,0.1,0.491,0.079,0.022,0.043,0.065
nanotechnology,2.333580732345581,0.572,0.6,0.8,0.7,0.794,0.546,0.064,0.17,0.447
When did the Black Death pandemic occur?,21.977864027023315,0.083,0.2,0.2,0.067,0.667,0.052,0.021,0.043,0.043
neuroscience,6.093896150588989,0.275,0.2,0.1,0.567,0.482,0.442,0.021,0.021,0.362
snowboard,5.577885150909424,0.473,0.6,0.5,0.3,0.65,0.391,0.188,0.312,0.562
Who is the founder of modern psychology?,15.769484758377075,0.081,0.2,0.1,0.067,0.188,0.051,0.02,0.02,0.041
