query,duration,rq,precision@5,precision@10,precision@30,average precision,f1@30,recall@5,recall@10,recall@30
genetics,3.12865591,0.619,1,0.9,0.567,0.9,0.448,0.109,0.196,0.37
"Who is considered the ""Father of the United States""?",1.178579092,0,0,0,0,0,0,0,0,0
economic,0.689485788,0.491,1,0.6,0.433,0.738,0.325,0.1,0.12,0.26
When was the United Nations founded?,1.158947229,0.046,0.2,0.1,0.033,1,0.026,0.022,0.022,0.022
video gaming,1.558553696,0.046,0.2,0.1,0.033,1,0.026,0.022,0.022,0.022
3D printing technology,0.40727973,0.048,0.2,0.1,0.033,0.333,0.027,0.023,0.023,0.023
"Who is the author of ""1984""?",0.440602779,0,0,0,0,0,0,0,0,0
bioinformatics,0.704141378,0.152,0.2,0.2,0.1,0.291,0.122,0.053,0.105,0.158
Who is known for proposing the heliocentric model of the solar system?,0.506533861,0,0,0,0,0,0,0,0,0
Describe the process of water erosion.,0.438259363,0.306,0.6,0.4,0.267,0.546,0.205,0.062,0.083,0.167
When was the Berlin Wall constructed?,0.400655031,0.09,0.4,0.2,0.067,0.833,0.051,0.041,0.041,0.041
"What is the meaning of the term ""Habeas Corpus""?",0.387909174,0.081,0.2,0.2,0.067,0.611,0.051,0.02,0.041,0.041
telecommunications,0.680500507,0.182,0.6,0.3,0.1,0.917,0.107,0.115,0.115,0.115
internet,0.687191725,0.615,0.8,0.8,0.6,0.797,0.5,0.095,0.19,0.429
What are the characteristics of a chemical element?,0.39041853,0,0,0,0,0,0,0,0,0
Describe the structure of a plant cell.,0.415767193,0.081,0.2,0.1,0.067,0.534,0.051,0.02,0.02,0.041
"Who painted ""Starry Night""?",0.442383289,0,0,0,0.033,0.037,0.031,0,0,0.03
computer,0.680792332,0.179,0.6,0.3,0.133,0.795,0.105,0.065,0.065,0.087
What is the structure of the Earth's layers?,0.355126858,0.048,0.2,0.1,0.033,0.25,0.027,0.023,0.023,0.023
When did World War II end?,0.87855196,0.044,0.2,0.1,0.033,1,0.025,0.02,0.02,0.02
When was the Gutenberg printing press invented?,0.377683878,0.166,0.4,0.4,0.133,0.524,0.105,0.043,0.087,0.087
medicine,0.688922644,0.453,1,0.8,0.367,0.841,0.293,0.111,0.178,0.244
Describe the water cycle.,0.449975252,0.131,0.4,0.3,0.1,0.681,0.078,0.043,0.064,0.064
artificial intelligence,0.374109268,0.116,0.2,0.1,0.1,0.423,0.082,0.023,0.023,0.07
physics,0.710177898,0.39,0.6,0.5,0.367,0.571,0.289,0.065,0.109,0.239
nanotechnology,0.645392179,0.572,0.6,0.8,0.7,0.791,0.546,0.064,0.17,0.447
When did the Black Death pandemic occur?,0.495557785,0.092,0.4,0.2,0.067,0.7,0.052,0.043,0.043,0.043
neuroscience,0.694895506,0.547,0.8,0.5,0.533,0.596,0.415,0.085,0.106,0.34
snowboard,0.630873203,0.473,0.6,0.6,0.3,0.693,0.391,0.188,0.375,0.562
Who is the founder of modern psychology?,0.383638144,0.09,0.4,0.2,0.067,0.7,0.051,0.041,0.041,0.041
,0.699385373,0.201933333,0.4,0.296666667,0.177766667,0.570066667,0.147633333,0.049866667,0.076066667,0.132866667
